-4816,-7120
-5488,-6224
-5168,-5008
-3984,-3312
-3056,-2512
-4048,-2224
-5456,-1712
-6000,-1424
-5776,-240
-4848,1168
-4176,2256
-3696,3216
-4688,4176
-6864,5168
-1104,1712
-2096,3184
-1296,3792
-816,4688
-688,5680
176,6352
880,6736
1808,7472
2256,7888
2160,6864
1840,6064
2576,5520
3632,4688
4368,4208
5136,3696
6672,3376
7024,2672
6992,2128
6672,1456
6256,976
5648,1008
5008,1520
4208,2064
3824,2128
3440,1616
3248,1296
2896,784
2256,1008
1584,80
2192,-656
2064,-1360
2768,-1360
3280,-1936
3792,-2192
4816,-2832
5744,-3440
6512,-4304
6832,-5008
7760,-4560
8112,-4080
7856,-3216
6256,-3088
6928,-2576
7440,-1744
8560,-1168
9232,-656
9840,-1040
10256,-1200
10864,-1616
9744,-624
9552,-112
10064,432
10576,1040
11056,1712
11664,2544
12112,3280
12720,3792
13136,4336
13488,5008
