-6192,7824
-6832,6832
-5520,5680
-5712,3696
-7184,4144
-6640,2928
-7120,1904
-7728,1680
-4784,-752
-5520,-2384
-6192,-3664
-5488,-4784
-3920,-6128
-2000,-6960
-240,-7792
1488,-8432
2512,-9488
3728,-9648
4784,-8464
4912,-7568
5488,-6480
6096,-5616
6288,-4816
6832,-3920
6960,-3376
5520,-2576
5648,-1968
5200,-1648
4336,-1552
3792,-848
4304,112
5168,1072
6000,1840
7024,1200
7536,2352
8656,3408
8048,4304
6736,4048
6480,5232
5424,5584
4624,4944
4688,6128
3920,6864
2736,7600
1744,7600
848,6992
-208,7024
-1328,7216
-2352,7728
-2928,8272
