2096,368
4048,592
5488,-560
5360,-2704
6928,-3216
9616,-3248
10352,-2128
10544,-976
9424,-80
7504,-208
4976,-400
5136,1648
5968,2896
7728,3216
9296,2896
10064,1776
9296,464
10960,-1232
12432,-1776
14000,-1936
15408,-1104
16880,144
17360,944
17712,2160
16848,3184
15056,3792
18064,4848
15792,5520
13648,6096
12880,7504
13264,9488
14320,10896
16304,10896
17808,8048
15120,12368
14096,13808
14320,15120
13968,16752
13840,17808
14864,20496
16656,21168
17424,19760
17552,17008
18704,16368
19792,14352
21200,14352
22832,15120
22800,16688
21744,17712
20336,18352
19568,18640
20336,19696
20528,20944
21328,20656
22992,21168
25488,22096
26640,22736
