-5040,-8080
-5328,-7184
-5744,-6096
-6512,-5200
-7312,-4944
-7216,-4560
-6640,-4464
-6352,-4304
-5840,-4048
-5168,-3856
-4880,-3696
-4624,-3408
-4336,-3248
-3952,-2992
-2928,-2384
-2224,-1936
-2896,-1072
-3728,-496
-4656,-176
-4816,368
-4592,752
-4464,1296
-5040,1680
-5776,1328
-5776,752
-6416,976
-7152,1456
-7888,2000
-8176,2288
-8944,2544
-9968,2224
-10544,1872
-8592,2864
-8816,3760
-8624,4528
-8176,5136
-7728,5936
-7152,6256
-4656,8112
-5264,8848
-5424,9392
-5136,10064
-4496,10352
-3920,10256
-3504,9872
-3344,9392
-3696,8944
-2576,8720
-2064,8336
-2000,7696
-1968,6160
-2160,5488
-2288,4080
-1744,3184
-1232,2448
-784,1552
16,1808
1520,1776
2896,1520
3568,976
3376,368
2608,80
1648,208
720,144
144,176
3152,-48
4560,1104
5808,1552
6384,2512
7344,2832
8048,2480
8048,1808
7376,1200
7056,720
6416,-144
7568,752
8112,336
7408,-1008
7920,-1872
8592,-1744
9616,-688
10320,112
9776,1040
9520,1392
9680,2032
10064,752
9680,-304
9040,-1008
9392,-1456
10160,-2160
10832,-2736
11376,-3312
12752,-4304
