-14800,-15728
-14224,-14416
-13456,-13072
-12848,-11536
-12432,-10736
-14000,-10448
-14736,-9808
-14704,-9008
-14192,-8176
-13712,-7792
-13072,-6480
-12304,-5328
-12016,-4496
-11376,-4464
-11184,-6352
-11600,-8400
-11120,-6608
-11184,-5104
-11440,-3952
-11024,-3024
-10288,-2352
-9488,-1872
-8880,-1808
-8368,-2032
-8080,-2448
-7856,-2992
-8016,-3472
-8976,-3888
-9488,-4496
-9296,-5264
-9552,-6384
-9456,-7696
-9296,-8720
-8464,-8880
-7696,-8208
-6544,-7120
-6480,-5584
-6320,-6864
-7984,-8688
-8944,-9488
-8656,-10384
-7952,-11248
-7056,-11376
-6032,-10544
-5040,-9648
-4496,-8944
-4048,-8176
-3152,-5808
-2928,-5040
-3984,-4496
-4976,-3088
-5296,-1936
-5200,-720
-5072,112
-4208,624
-3792,1424
-3088,1776
-3696,912
-3088,-80
-2224,-1136
-688,-2032
-80,-2032
240,-1648
272,-976
208,-48
-80,560
-80,1520
-208,2064
304,2256
880,2992
1456,3888
2096,4464
3216,5200
4080,6128
