208,2640
656,1168
-688,304
2576,784
2512,-1232
2672,752
3920,1040
3984,1840
3408,2480
3888,3280
4624,3856
5648,3152
4944,2416
5520,1840
5552,944
6896,752
7056,-816
7056,-2160
3568,-2448
3536,-5520
4752,-6288
3824,-7408
4112,-8464
5200,-8624
5552,-7408
5296,-6064
5744,-5488
7696,-5552
9264,-5648
10384,-5584
10672,-7216
11920,-7184
12176,-6128
12112,-5584
12016,-4176
11792,-3728
10608,-3760
10032,-3856
10000,-2512
9872,-1232
9040,-880
11056,-784
12208,-976
15184,-912
19312,-848
17904,-1040
17808,-3760
15568,-3760
14896,-3856
15056,-5392
16720,-5520
18064,-5712
16592,-6992
16720,-10704
16752,-11312
