720,2512
688,4400
1552,5488
2448,6160
2224,7696
1648,8912
784,9968
784,11472
976,12656
2128,13328
2224,14416
2224,15664
1392,16688
592,17456
688,18768
560,19984
656,21456
592,22288
-400,22896
-1552,23056
-3184,23184
-3824,23184
-3674,22387
-5488,20112
-3088,19952
-1680,19312
-1616,17488
-2608,16368
-3536,15440
-3344,13648
-2256,12912
-1200,11568
-1648,9808
-2416,8784
-3088,7696
-2640,6000
-1712,4720
-1360,3216
-1616,1840
-3632,2000
-6096,1904
-7792,1904
-8080,3216
-7952,5072
-7984,6192
-7984,6704
