-13904,-15952
-13296,-15152
-14544,-13328
-14576,-11728
-14256,-9904
-14096,-8656
-14416,-6768
-13328,-6352
-12752,-5488
-11472,-5648
-9904,-5744
-9424,-4816
-8304,-4048
-7056,-3088
-6128,-1872
-4816,-3024
-2320,-5200
48,-5936
208,-7312
560,-8656
176,-9520
-1488,-10672
-2864,-12432
-4368,-13872
-6160,-15152
-8624,-16336
-5936,-15600
-4400,-14000
-2960,-12976
-1936,-11952
-1392,-10960
-624,-10096
368,-9200
1520,-8656
2160,-7504
1936,-6096
1904,-4784
1360,-3728
-208,-3376
-1712,-3312
-1968,-2608
-1936,-1392
-1808,528
-624,-464
816,-2512
2064,-3440
4048,-4112
4784,-3152
4784,-2224
2896,-1520
1808,-752
3120,496
